reviewer_id_or_initials,reviewer_specialty_role,review_date,scenario_id,agent_names,rt_site,timing,fractionation,app_alert_level,app_toxicity_domains,app_risk_driver,app_rationale_summary,app_evidence_ids,alert_appropriate_yes_no_uncertain,preferred_alert_level,toxicity_domains_appropriate_yes_no_uncertain,missing_toxicity_domains,inappropriate_toxicity_domains,risk_driver_appropriate_yes_no_uncertain,rationale_appropriate_yes_no_uncertain,evidence_appropriate_yes_no_uncertain,uncertainty_rating_appropriate_yes_no_uncertain,potential_false_reassurance_yes_no,suggested_correction_or_comment,reviewer_confidence_low_moderate_high
,,,S001,enzalutamide,Prostate — Prostate only,Sequential,Palliative single fraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S002,letrozole,Breast — Whole breast,Planned after RT,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S003,abiraterone,Prostate — Prostate + pelvic nodes,Sequential,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S004,bicalutamide,Spine — Lumbar/sacral,Sequential,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S005,anastrozole,Breast — Chest wall,Planned after RT,Palliative single fraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S006,paclitaxel,Head and neck — Larynx/hypopharynx,Concurrent,Conventional fractionation,Caution,DOM-03; DOM-01; DOM-06,Combination-driven,This is a recognised concurrent chemoradiation combination; toxicity risk is expected and should be managed according to...,EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S007,ipilimumab,Brain — SRS/focal,Concurrent,SRS,Caution,DOM-10,Combination-driven,"SRS with immune checkpoint therapy may increase inflammatory imaging changes, oedema or radionecrosis in selected settin...",EVID-0002; EVID-0024,,,,,,,,,,,,
,,,S008,docetaxel,Head and neck — Oral cavity/oropharynx,Concurrent,Conventional fractionation,Caution,DOM-03; DOM-01; DOM-06,Combination-driven,This is a recognised concurrent chemoradiation combination; toxicity risk is expected and should be managed according to...,EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S009,cisplatin,Head and neck — Oral cavity/oropharynx,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-03; DOM-01; DOM-06,Combination-driven,Concurrent systemic therapy may intensify mucosal toxicity in the irradiated field. This is also a recognised concurrent...,EVID-0003; EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S010,palbociclib,Pelvis — Rectal,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-01; DOM-06,Combination-driven,"Concurrent CDK4/6 inhibition may increase marrow and gastrointestinal toxicity, particularly with pelvic or abdominal RT...",EVID-0001; EVID-0002; EVID-0015; EVID-0016,,,,,,,,,,,,
,,,S011,osimertinib,Lung — Peripheral,Concurrent,SABR/SBRT,Moderate toxicity alert,DOM-05; DOM-04; DOM-03,Combination-driven,Concurrent thoracic RT with targeted kinase inhibition may increase pulmonary toxicity.,EVID-0003; EVID-0020; EVID-0025,,,,,,,,,,,,
,,,S012,trastuzumab deruxtecan,Lung — Central,Concurrent,Moderate hypofractionation,Moderate toxicity alert,DOM-05,Combination-driven,Potential additive interstitial lung disease/pneumonitis risk with thoracic RT.,EVID-0007; EVID-0008; EVID-0009; EVID-0020; EVID-0025,,,,,,,,,,,,
,,,S013,nivolumab,Lung — Peripheral,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-05,Combination-driven,The selected systemic therapy and thoracic RT have overlapping pneumonitis/ILD risk.,EVID-0002; EVID-0020; EVID-0025; EVID-0031,,,,,,,,,,,,
,,,S014,dabrafenib,Skin/superficial — Skin lesion,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-04; DOM-19,Agent-driven,"BRAF inhibition may enhance radiation dermatitis and, rarely, visceral toxicity or radiation recall.",EVID-0003,,,,,,,,,,,,
,,,S015,cetuximab,Oesophagus — Mid-thoracic,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-03; DOM-01,Combination-driven,Concurrent systemic therapy may intensify mucosal toxicity in the irradiated field.,EVID-0003; EVID-0041,,,,,,,,,,,,
,,,S016,ribociclib,Pelvis — Gynaecological,Concurrent,Moderate hypofractionation,Moderate toxicity alert,DOM-01; DOM-06,Combination-driven,"Concurrent CDK4/6 inhibition may increase marrow and gastrointestinal toxicity, particularly with pelvic or abdominal RT...",EVID-0001; EVID-0002; EVID-0015; EVID-0016,,,,,,,,,,,,
,,,S017,gemcitabine,Spine — Thoracic,Concurrent,Large-field marrow-exposing RT,Moderate toxicity alert,DOM-06,Combination-driven,Potential additive marrow suppression from systemic therapy and marrow-exposing RT.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S018,bevacizumab,Upper abdomen — Pancreas,Concurrent,SABR/SBRT,High toxicity alert,DOM-07; DOM-08; DOM-09; DOM-03; DOM-01,Combination-driven,"Anti-VEGF pathway inhibition may increase bleeding, perforation, fistula, vascular injury and impaired healing with high...",EVID-0034; EVID-0035,,,,,,,,,,,,
,,,S019,axitinib,Upper abdomen — Liver,Concurrent,SABR/SBRT,High toxicity alert,DOM-07; DOM-08; DOM-09,Combination-driven,"Anti-VEGF pathway inhibition may increase bleeding, perforation, fistula, vascular injury and impaired healing with high...",EVID-0034; EVID-0035,,,,,,,,,,,,
,,,S020,sorafenib,Upper abdomen — Adrenal,Concurrent,SABR/SBRT,High toxicity alert,DOM-07; DOM-08; DOM-09,Combination-driven,"Anti-VEGF pathway inhibition may increase bleeding, perforation, fistula, vascular injury and impaired healing with high...",EVID-0034; EVID-0035,,,,,,,,,,,,
,,,S021,tisagenlecleucel,Brain — Whole brain,Concurrent,Conventional fractionation,High toxicity alert,DOM-10; DOM-06,Timing-driven,"Avoid elective RT during active cytokine-release syndrome, ICANS or unstable immune toxicity.",EVID-0066; EVID-0067,,,,,,,,,,,,
,,,S022,tarlatamab,Head and neck — Oral cavity/oropharynx,Concurrent,Conventional fractionation,High toxicity alert,DOM-10; DOM-06,Timing-driven,"Avoid elective RT during active cytokine-release syndrome, ICANS or unstable immune toxicity.",EVID-0066; EVID-0067,,,,,,,,,,,,
,,,S023,ramucirumab,Oesophagus — Lower/GOJ,Concurrent,SABR/SBRT,High toxicity alert,DOM-07; DOM-08; DOM-09; DOM-03; DOM-01,Combination-driven,"Anti-VEGF pathway inhibition may increase bleeding, perforation, fistula, vascular injury and impaired healing with high...",EVID-0034; EVID-0035; EVID-0003; EVID-0041,,,,,,,,,,,,
,,,S024,gemcitabine,Lung — Peripheral,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-01; DOM-03; DOM-04; DOM-05,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S025,temozolomide,Brain — Whole brain,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-01; DOM-03; DOM-04; DOM-06; DOM-19,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S026,olaparib,Pelvis — Gynaecological,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-03; DOM-04; DOM-05; DOM-06,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S027,venetoclax,Pelvis — Rectal,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-01; DOM-06,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S028,datopotamab deruxtecan,Lung — Peripheral,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-03; DOM-05; DOM-06,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S029,zolbetuximab,Oesophagus — Lower/GOJ,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-20,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S030,sotorasib,Lung — Peripheral,Concurrent,SABR/SBRT,Uncertain / evidence limited,DOM-01; DOM-05; DOM-06; DOM-13,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S031,clodronate,Spine — Lumbar/sacral,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-12; DOM-16,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S032,(none),Lung — Peripheral,Concurrent,Conventional fractionation,Incomplete — no output,None,—,No therapy selected — app returns incomplete state.,None,,,,,,,,,,,,
,,,S033,gemcitabine,Not selected,Concurrent,Conventional fractionation,Incomplete — no output,None,—,No RT site selected — app returns incomplete state.,None,,,,,,,,,,,,
,,,S034,nivolumab,Lung — Peripheral,Concurrent,Not selected,Incomplete — fractionation required,None,—,Fractionation not specified — app prompts for this field before completing evaluation.,None,,,,,,,,,,,,
,,,S035,ipilimumab; nivolumab,Lung — Peripheral,Concurrent,SABR/SBRT,Moderate toxicity alert,DOM-05,Combination-driven,The selected systemic therapy and thoracic RT have overlapping pneumonitis/ILD risk. Note: combination-specific interact...,EVID-0002; EVID-0020; EVID-0025; EVID-0031,,,,,,,,,,,,
,,,S036,carboplatin; paclitaxel,Lung — Central,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-03; DOM-04; DOM-05; DOM-06; DOM-12; DOM-14,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S037,bevacizumab,Upper abdomen — Liver,Planned after RT,SABR/SBRT,Uncertain / evidence limited,DOM-07; DOM-08; DOM-09; DOM-03; DOM-10; DOM-11,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S038,capecitabine,Pelvis — Rectal,Recent before RT,Conventional fractionation,Uncertain / evidence limited,DOM-01; DOM-03; DOM-04; DOM-06,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S039,doxorubicin,Breast — Chest wall,Recent after RT,Conventional fractionation,Uncertain / evidence limited,DOM-04; DOM-06; DOM-11; DOM-19,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
,,,S040,nivolumab,Lung — Peripheral,Concurrent,SABR/SBRT,Moderate toxicity alert,DOM-05,Combination-driven,The selected systemic therapy and thoracic RT have overlapping pneumonitis/ILD risk.,EVID-0002; EVID-0020; EVID-0025; EVID-0031,,,,,,,,,,,,
,,,S041,palbociclib,Pelvis — Rectal,Concurrent,SABR/SBRT,Moderate toxicity alert,DOM-01,Combination-driven,Potential additive gastrointestinal toxicity from systemic therapy and bowel irradiation.,EVID-0001; EVID-0002,,,,,,,,,,,,
,,,S042,trastuzumab,Breast — Breast/chest wall + regional nodes,Concurrent,Conventional fractionation,Uncertain / evidence limited,DOM-03; DOM-10; DOM-11,Uncertainty-driven,Direct evidence for this drug–RT combination is insufficient. Specialist review and documented multidisciplinary reasoni...,None,,,,,,,,,,,,
