section,scenario_id,scenario_summary,question_number,step9_column,question_text,field_type,options,required,branching_logic,notes
Scenario S021,S021,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S021,S021,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S022,S022,Agent: Tarlatamab | Agent class: Bispecific T-cell engager (DLL3xCD3) | RT site: Head and neck — Oral cavity/oropharynx | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S022,S022,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S022,S022,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S022,S022,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S022,S022,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S023,S023,Agent: Ramucirumab | Agent class: Anti-VEGFR2 monoclonal antibody | RT site: Oesophagus — Lower/GOJ | Timing: Concurrent | Fractionation: SABR/SBRT,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S023,S023,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S023,S023,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S023,S023,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S023,S023,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S024,S024,Agent: Gemcitabine | Agent class: Cytotoxic chemotherapy — antimetabolite / gemcitabine | RT site: Lung — Peripheral | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S024,S024,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S024,S024,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S024,S024,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S024,S024,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S025,S025,Agent: Temozolomide | Agent class: Alkylating-like agent — TMZ | RT site: Brain — Whole brain | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S025,S025,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S025,S025,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S025,S025,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S025,S025,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S026,S026,Agent: Olaparib | Agent class: PARP inhibitor | RT site: Pelvis — Gynaecological | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S026,S026,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S026,S026,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S026,S026,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S026,S026,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S027,S027,Agent: Venetoclax | Agent class: BCL-2 inhibitor | RT site: Pelvis — Rectal | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S027,S027,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S027,S027,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S027,S027,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S027,S027,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S028,S028,Agent: Datopotamab deruxtecan | Agent class: TROP2-directed antibody-drug conjugate (novel) | RT site: Lung — Peripheral | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S028,S028,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S028,S028,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S028,S028,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S028,S028,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S029,S029,Agent: Zolbetuximab | Agent class: Claudin 18.2 monoclonal antibody (novel) | RT site: Oesophagus — Lower/GOJ | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S029,S029,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S029,S029,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S029,S029,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S029,S029,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S030,S030,Agent: Sotorasib | Agent class: KRAS G12C inhibitor (evolving evidence) | RT site: Lung — Peripheral | Timing: Concurrent | Fractionation: SABR/SBRT,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S030,S030,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S030,S030,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S030,S030,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S030,S030,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S031,S031,Agent: Clodronate | Agent class: Bone-modifying agent — first-generation bisphosphonate | RT site: Spine — Lumbar/sacral | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S031,S031,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S031,S031,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S031,S031,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S031,S031,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S032,S032,Agent: (No agent selected) | Agent class: — | RT site: Lung — Peripheral | Timing: Concurrent | Fractionation: Conventional fractionation,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S032,S032,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S032,S032,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
